cycle,branch,state,pollster,grade,population,adjpoll_clinton,adjpoll_trump
2016,President,U.S.,Google Consumer Surveys,B,lv,42.6414,40.86509
2016,President,U.S.,ABC News/Washington Post,A+,lv,43.29659,44.72984
2016,President,Virginia,ABC News/Washington Post,A+,lv,46.29779,40.726040000000005
2016,President,Florida,SurveyUSA,A,lv,46.35931,45.30585
2016,President,U.S.,Pew Research Center,B+,rv,45.32744,42.20888
2016,President,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,lv,44.6508,42.26663
2016,President,U.S.,IBD/TIPP,A-,lv,46.218340000000005,43.56017
2016,President,Pennsylvania,Gravis Marketing,B-,rv,46.89049,43.50333
2016,President,U.S.,Ipsos,A-,lv,41.22576,37.24948
2016,President,U.S.,The Times-Picayune/Lucid,,lv,42.21983,41.6954
2016,President,U.S.,USC Dornsife/LA Times,,lv,44.53217,43.84845
2016,President,Florida,Siena College,A,lv,41.81832,47.92262
2016,President,California,Public Policy Institute of California,A,lv,55.688390000000005,29.50605
2016,President,U.S.,Morning Consult,,lv,43.315509999999996,40.34972
2016,President,North Carolina,Marist College,A,lv,45.20793,42.01937
2016,President,Florida,Marist College,A,lv,43.19458,45.07725
2016,President,U.S.,GfK Group,B+,lv,50.182829999999996,39.33826
2016,President,Florida,Selzer & Company,A+,lv,42.677890000000005,46.11255
2016,President,Pennsylvania,YouGov,B,lv,47.77047,39.80679
2016,President,Pennsylvania,Siena College,A,lv,45.74354,41.34735
2016,President,U.S.,Selzer & Company,A+,lv,46.84417,39.995709999999995
2016,President,Missouri,BK Strategies,,lv,38.51061,50.7572
2016,President,Colorado,YouGov,B,lv,41.75385,38.87231
2016,President,U.S.,YouGov,B,lv,45.63602,41.55637
2016,President,Arizona,YouGov,B,lv,41.76,43.84806
2016,President,U.S.,Gravis Marketing,B-,rv,45.78602,45.0337
2016,President,North Carolina,YouGov,B,lv,47.77576,44.78595
2016,President,U.S.,Rasmussen Reports/Pulse Opinion Research,C+,lv,44.50363,44.1804
2016,President,U.S.,SurveyMonkey,C-,lv,45.66489,40.41809
2016,President,Missouri,Remington,,lv,38.42823,49.477090000000004
2016,President,New Hampshire,Marist College,A,lv,43.04313,38.24964
2016,President,Pennsylvania,Remington,,lv,44.7114,41.147909999999996
2016,President,Ohio,Remington,,lv,42.7114,46.147909999999996
2016,President,North Carolina,Remington,,lv,44.7114,45.147909999999996
2016,President,Wisconsin,Remington,,lv,45.7114,40.147909999999996
2016,President,U.S.,CVOTER International,C+,lv,46.38828,44.13978
2016,President,North Carolina,Siena College,A,lv,45.74498,41.64333
2016,President,New Mexico,Zia Poll,,lv,43.73338,39.62985
2016,President,Arizona,Saguaro Strategies,,lv,45.73579,46.35058
2016,President,Virginia,Remington,,lv,46.7114,41.147909999999996
2016,President,Iowa,Quinnipiac University,A-,lv,44.087720000000004,44.58124
2016,President,Virginia,Emerson College,B,lv,48.63733,43.2056
2016,President,Minnesota,SurveyUSA,A,lv,47.3517,39.01773
2016,President,U.S.,Quinnipiac University,A-,lv,47.20443,41.15833
2016,President,Texas,YouGov,B,lv,42.636359999999996,46.87188
2016,President,U.S.,Suffolk University,B+,lv,46.95812,39.36292
2016,President,Florida,University of North Florida,B+,lv,43.94143,42.24168
2016,President,Florida,Remington,,lv,43.7114,46.147909999999996
2016,President,Maine,Emerson College,B,lv,45.63095,40.2258
2016,President,Georgia,SurveyMonkey,C-,lv,42.73449,45.10929
2016,President,Nevada,Marist College,A,lv,41.098490000000005,44.929520000000004
2016,President,New Hampshire,University of New Hampshire,B+,lv,45.78382,40.53563
2016,President,Texas,Dixie Strategies,C+,lv,39.79761,50.76878
2016,President,Pennsylvania,Franklin & Marshall College,B+,lv,48.5308,39.71922
2016,President,California,SurveyMonkey,C-,lv,53.72084,29.1581
2016,President,Florida,Gravis Marketing,B-,rv,47.7879,47.02554
2016,President,Colorado,Remington,,lv,44.7114,42.147909999999996
2016,President,U.S.,Public Policy Polling,B+,lv,45.05301,41.09445
2016,President,Florida,SurveyMonkey,C-,lv,44.723259999999996,44.14946
2016,President,Georgia,Time/Abt SRBI,A-,lv,41.87008,46.25708
2016,President,Florida,YouGov,B,lv,45.63017,43.90773
2016,President,Georgia,SurveyUSA,A,rv,41.7627,50.48988
2016,President,U.S.,NBC News/Wall Street Journal,A-,lv,41.91822,36.25222
2016,President,North Carolina,Gravis Marketing,B-,rv,48.80125,46.967659999999995
2016,President,Virginia,Quinnipiac University,A-,lv,50.115970000000004,38.43544
2016,President,Florida,Public Policy Polling,B+,lv,46.88216,43.8345
2016,President,Kentucky,Cygnal Political,,lv,31.80767,54.75208000000001
2016,President,Georgia,Quinnipiac University,A-,lv,43.14038,44.309459999999994
2016,President,U.S.,CNN/Opinion Research Corp.,A-,lv,47.83393,43.259479999999996
2016,President,Ohio,Emerson College,B,lv,44.50785,43.74232
2016,President,Vermont,"Political Marketing International, Inc./Red Racing Horses",B-,lv,50.66944,26.71407
2016,President,Idaho,Emerson College,B,lv,20.01258,49.56269
2016,President,Texas,SurveyMonkey,C-,lv,39.72546,46.14158
2016,President,Pennsylvania,SurveyMonkey,C-,lv,47.72671,40.13711
2016,President,North Carolina,Public Policy Polling,B+,lv,46.067479999999996,44.81387
2016,President,North Carolina,Quinnipiac University,A-,lv,47.12807,43.37304
2016,President,Virginia,SurveyMonkey,C-,lv,46.72589,37.14005
2016,President,South Carolina,SurveyMonkey,C-,lv,41.73411,44.110659999999996
2016,President,New York,SurveyMonkey,C-,lv,54.721019999999996,32.15746
2016,President,Ohio,SurveyMonkey,C-,lv,38.72247,44.15226
2016,President,Nevada,Remington,,lv,43.7114,46.147909999999996
2016,President,Maine,University of New Hampshire,B+,lv,47.56355,39.873090000000005
2016,President,Michigan,SurveyMonkey,C-,lv,41.72126,41.15661
2016,President,U.S.,Greenberg Quinlan Rosner (Democracy Corps),B-,lv,48.558240000000005,39.86935
2016,President,Virginia,Christopher Newport University,B-,lv,46.95389,42.00444
2016,President,North Carolina,SurveyMonkey,C-,lv,45.73015,43.12482
2016,President,Missouri,"Mason-Dixon Polling & Research, Inc.",B+,lv,40.41095,47.89443
2016,President,Colorado,SurveyMonkey,C-,lv,41.7159,38.17576
2016,President,U.S.,Monmouth University,A+,lv,48.77353,39.801190000000005
2016,President,Missouri,Monmouth University,A+,lv,36.86025,51.30836
2016,President,Arizona,SurveyMonkey,C-,lv,41.7199,43.16145
2016,President,North Carolina,Emerson College,B,lv,47.51965,43.6958
2016,President,Kansas,SurveyMonkey,C-,lv,34.718509999999995,46.16644
2016,President,Illinois,Victory Research,,lv,50.256159999999994,36.88839
2016,President,U.S.,Saint Leo University,C+,lv,44.18933,38.77402
2016,President,U.S.,SurveyUSA,A,lv,44.674890000000005,37.15985
2016,President,Indiana,Monmouth University,A+,lv,37.82618,49.41636
2016,President,Florida,Saint Leo University,C+,lv,48.541990000000006,40.76155
2016,President,Wisconsin,Public Policy Polling,B+,lv,47.68439,38.00763
2016,President,Wisconsin,SurveyMonkey,C-,lv,42.7181,41.1679
2016,President,Michigan,EPIC-MRA,A-,lv,41.56248,36.47088
2016,President,Florida,Associated Industries of Florida,,lv,43.73679,44.8174
2016,President,Utah,SurveyMonkey,C-,lv,28.718259999999997,32.16731
2016,President,California,SurveyUSA,A,lv,54.62291999999999,31.151740000000004
2016,President,Nevada,Bendixen & Amandi International,,lv,46.53946,42.88154
2016,President,Nevada,Gravis Marketing,B-,rv,45.73999,46.2872
2016,President,Minnesota,"Mason-Dixon Polling & Research, Inc.",B+,lv,45.34961,40.75738
2016,President,U.S.,"RKM Research and Communications, Inc.",B+,lv,46.0958,42.26845
2016,President,U.S.,Princeton Survey Research Associates International,B+,rv,48.16418,41.12745
2016,President,New Mexico,SurveyMonkey,C-,lv,42.718270000000004,33.16729
2016,President,Iowa,SurveyMonkey,C-,lv,38.71593,44.17565
2016,President,Illinois,Emerson College,B,lv,52.63655,39.208059999999996
2016,President,South Dakota,Remington,,lv,36.422940000000004,48.26057
2016,President,New Hampshire,YouGov,B,lv,42.63734,39.70905
2016,President,Texas,Crosswind Media & Public Relations,C+,lv,37.42928,46.33903
2016,President,Montana,"Mason-Dixon Polling & Research, Inc.",B+,lv,34.81863,48.56234
2016,President,Illinois,SurveyMonkey,C-,lv,50.72356,34.148379999999996
2016,President,Washington,Elway Research,A+,lv,47.731120000000004,34.268570000000004
2016,President,Illinois,Loras College,B-,lv,45.589079999999996,35.72532
2016,President,Florida,Dixie Strategies,C+,lv,42.44762,45.19785
2016,President,Utah,Dan Jones & Associates,C+,lv,22.92762,32.55424
2016,President,Nevada,SurveyMonkey,C-,lv,41.72206,41.15372
2016,President,Nevada,Emerson College,B,lv,43.507220000000004,40.74479
2016,President,Pennsylvania,Selzer & Company,A+,lv,48.28355,41.05856
2016,President,North Carolina,Elon University,B+,lv,41.81535,43.266709999999996
2016,President,Kentucky,Western Kentucky University,C+,lv,35.92733,53.66605
2016,President,New Hampshire,Emerson College,B,lv,45.325540000000004,42.721470000000004
2016,President,Arizona,Data Orbital,,lv,41.64209,45.25915
2016,President,Pennsylvania,Emerson College,B,lv,47.473490000000005,41.95567
2016,President,Utah,Rasmussen Reports/Pulse Opinion Research,C+,lv,28.19793,33.3695
2016,President,Idaho,Rasmussen Reports/Pulse Opinion Research,C+,lv,29.234809999999996,49.49641
2016,President,U.S.,CBS News/New York Times,A-,lv,46.996,40.40553
2016,President,Massachusetts,Suffolk University,B+,lv,56.55489,26.406879999999997
2016,President,North Carolina,SurveyUSA,A,lv,44.57658,44.89416
2016,President,Utah,YouGov,B,lv,19.80207,38.41128
2016,President,Massachusetts,SurveyMonkey,C-,lv,56.70058,28.23054
2016,President,Florida,Emerson College,B,lv,45.50905,43.73757
2016,President,New Hampshire,Monmouth University,A+,lv,44.51413,42.93306
2016,President,New York,Siena College,A,lv,53.93544,33.557109999999994
2016,President,North Carolina,CNN/Opinion Research Corp.,A-,lv,47.15092,46.90791
2016,President,Maine,Maine People's Resource Center,C,lv,42.72583,38.54995
2016,President,Louisiana,"Mason-Dixon Polling & Research, Inc.",B+,lv,32.47404,55.76905
2016,President,Minnesota,SurveyMonkey,C-,lv,44.71736,36.17055
2016,President,Ohio,CNN/Opinion Research Corp.,A-,lv,43.15221,48.09313
2016,President,Nevada,YouGov,B,lv,45.94579,41.76702
2016,President,Washington,SurveyMonkey,C-,lv,51.71312,33.1857
2016,President,Ohio,Marist College,A,lv,39.55144,44.7854
2016,President,Oregon,SurveyMonkey,C-,lv,49.7145,35.18075
2016,President,Nevada,Public Policy Polling,B+,lv,44.39855,42.71152
2016,President,Maryland,SurveyMonkey,C-,lv,61.7263,26.138560000000002
2016,President,U.S.,American Research Group,C+,lv,46.17953,40.65233
2016,President,New Hampshire,Rasmussen Reports/Pulse Opinion Research,C+,lv,46.41257,40.5204
2016,President,Michigan,Emerson College,B,lv,49.462920000000004,42.00147
2016,President,New Jersey,SurveyMonkey,C-,lv,53.719190000000005,34.163990000000005
2016,President,Wisconsin,Marquette University,A,lv,44.168420000000005,39.741279999999996
2016,President,Alaska,Google Consumer Surveys,B,lv,42.83489,45.38098
2016,President,Utah,Emerson College,B,lv,23.36361,27.11539
2016,President,Florida,Rasmussen Reports/Pulse Opinion Research,C+,lv,43.43343,48.44582
2016,President,North Carolina,Rasmussen Reports/Pulse Opinion Research,C+,lv,44.440329999999996,46.42118
2016,President,Nevada,Rasmussen Reports/Pulse Opinion Research,C+,lv,43.43224,41.45008
2016,President,Pennsylvania,Rasmussen Reports/Pulse Opinion Research,C+,lv,44.436890000000005,42.43347
2016,President,Ohio,Rasmussen Reports/Pulse Opinion Research,C+,lv,48.43265,41.44862
2016,President,Michigan,Mitchell Research & Communications,D,lv,45.62742,40.14295
2016,President,Arizona,Monmouth University,A+,lv,43.55069,46.90595
2016,President,Georgia,Landmark Communications,B,lv,41.76212,48.53924
2016,President,Oregon,SurveyUSA,A,lv,46.82027,39.37527
2016,President,Pennsylvania,Muhlenberg College,A,lv,45.90595,41.96887
2016,President,Wisconsin,St. Norbert College,A-,lv,46.69125,41.87598
2016,President,Texas,University of Houston,B,lv,37.71614,44.2543
2016,President,New Hampshire,SurveyMonkey,C-,lv,46.70239,34.22404
2016,President,Indiana,SurveyMonkey,C-,lv,35.72667,50.137229999999995
2016,President,Mississippi,SurveyMonkey,C-,lv,39.73907,47.09292
2016,President,Texas,SurveyUSA,A,lv,41.80464,48.108340000000005
2016,President,Nevada,CNN/Opinion Research Corp.,A-,lv,45.15228,44.102959999999996
2016,President,Missouri,SurveyMonkey,C-,lv,37.72542,45.14172
2016,President,Idaho,Google Consumer Surveys,B,lv,33.842420000000004,47.34836
2016,President,Colorado,Quinnipiac University,A-,lv,45.4276,38.65441
2016,President,North Carolina,Monmouth University,A+,lv,45.58205,46.916990000000006
2016,President,U.S.,Public Religion Research Institute,,lv,48.355579999999996,37.88814
2016,President,Kansas,SurveyUSA,A,lv,34.67553,48.25099
2016,President,North Carolina,The Times-Picayune/Lucid,,lv,42.03075,44.76365
2016,President,Wisconsin,Emerson College,B,lv,47.56077,40.49327
2016,President,Maine CD-1,Emerson College,B,lv,48.42974,40.72964
2016,President,Maine CD-2,Emerson College,B,lv,43.2323,40.42152
2016,President,Florida,The Times-Picayune/Lucid,,lv,45.01757,42.90788
2016,President,Pennsylvania,Quinnipiac University,A-,lv,47.42579,42.39354
2016,President,Florida,Quinnipiac University,A-,lv,48.426359999999995,45.4769
2016,President,Nevada,Clarity Campaign Labs,B,lv,42.00261,44.26822
2016,President,Nebraska CD-3,Emerson College,B,lv,18.30412,62.62538000000001
2016,President,Nebraska CD-1,Emerson College,B,lv,27.398359999999997,50.6605
2016,President,Georgia,The Times-Picayune/Lucid,,lv,44.03906,43.67281
2016,President,U.S.,George Washington University (Battleground),B,lv,47.33188,41.35157
2016,President,Vermont,Braun Research,C+,lv,49.32188,24.49771
2016,President,U.S.,Centre College,,lv,44.949009999999994,41.993320000000004
2016,President,Maine CD-2,Clarity Campaign Labs,B,lv,37.73638,40.260329999999996
2016,President,North Carolina,"National Research, Inc.",B+,lv,44.29618,44.810829999999996
2016,President,Colorado,Gravis Marketing,B-,rv,44.01182,40.86651
2016,President,Connecticut,SurveyMonkey,C-,lv,49.71365,38.1838
2016,President,Tennessee,SurveyMonkey,C-,lv,36.72532,50.1421
2016,President,Ohio,Quinnipiac University,A-,lv,45.4265,46.4958
2016,President,Oklahoma,SoonerPoll.com,B,lv,28.329159999999998,60.14592
2016,President,Virginia,The Times-Picayune/Lucid,,lv,43.0226,41.85281
2016,President,Indiana,Gravis Marketing,B-,rv,37.70243,49.63599
2016,President,Missouri,Emerson College,B,lv,38.47355,47.26392
