cycle,state,pollster,fte_grade,population,office_type,answer,candidate_name,pct
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Biden,Joseph R. Biden Jr.,50.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Trump,Donald Trump,44.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Sanders,Bernard Sanders,50.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Trump,Donald Trump,45.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Warren,Elizabeth Warren,48.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Trump,Donald Trump,45.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Buttigieg,Pete Buttigieg,47.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Trump,Donald Trump,43.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Bloomberg,Michael Bloomberg,49.0
2020,Michigan,EPIC-MRA,B+,lv,U.S. President,Trump,Donald Trump,42.0
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Biden,Joseph R. Biden Jr.,51.4
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Trump,Donald Trump,48.6
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Sanders,Bernard Sanders,52.9
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Trump,Donald Trump,47.1
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Buttigieg,Pete Buttigieg,50.0
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Trump,Donald Trump,50.0
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Warren,Elizabeth Warren,50.8
2020,Florida,Florida Atlantic University,B/C,rv,U.S. President,Trump,Donald Trump,49.2
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,49.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,45.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Sanders,Bernard Sanders,47.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Warren,Elizabeth Warren,45.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,48.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,44.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,Morning Consult,B/C,rv,U.S. President,Biden,Joseph R. Biden Jr.,46.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,41.0
2020,,Morning Consult,B/C,rv,U.S. President,Sanders,Bernard Sanders,46.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Warren,Elizabeth Warren,43.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,41.0
2020,,Morning Consult,B/C,rv,U.S. President,Bloomberg,Michael Bloomberg,43.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Buttigieg,Pete Buttigieg,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,42.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,48.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Sanders,Bernard Sanders,48.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,47.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Warren,Elizabeth Warren,46.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,47.0
